ensg	obs_lof	exp_lof	shet	post_lower_95	post_upper_95	GENE	shet_BIN_raw	shet_BIN
ENSG00000083814	10	7.7153	0.00072459	1.61e-05	0.00299705	ZNF671	(0.000599,0.00112]	2
ENSG00000172653	27	32.824	0.00072469	3.11e-05	0.00263305	NA	(0.000599,0.00112]	2
ENSG00000116748	34	37.657	0.00072527	6.11e-05	0.00232605	AMPD1	(0.000599,0.00112]	2
ENSG00000176170	11	12.904	0.00072538	1.61e-05	0.00308705	SPHK1	(0.000599,0.00112]	2
ENSG00000249481	11	14.495	0.00072568	1.51e-05	0.00310905	SPATS1	(0.000599,0.00112]	2
ENSG00000075073	8	12.477	0.00072575	2.01e-05	0.00292605	TACR2	(0.000599,0.00112]	2
ENSG00000106013	10	13.824	0.00072618	2.41e-05	0.00282505	ANKRD7	(0.000599,0.00112]	2
ENSG00000171819	22	17.618	0.00072667	4.41e-05	0.00251905	ANGPTL7	(0.000599,0.00112]	2
ENSG00000149743	6	11.872	0.00072684	1.91e-05	0.00303305	TRPT1	(0.000599,0.00112]	2
ENSG00000133256	43	46.73	0.00072707	7.01e-05	0.00226705	PDE6B	(0.000599,0.00112]	2
ENSG00000158023	30	56.681	0.0007272	5.51e-05	0.00248805	CFAP251	(0.000599,0.00112]	2
ENSG00000065833	23	27.884	0.00072749	9.41e-05	0.00213505	ME1	(0.000599,0.00112]	2
ENSG00000105219	6	8.5911	0.00072868	1.31e-05	0.00316805	CCNP	(0.000599,0.00112]	2
ENSG00000167011	9	10.416	0.00072884	9.05e-06	0.00293805	NAT16	(0.000599,0.00112]	2
ENSG00000104044	27	43.507	0.00072895	1.51e-05	0.00328705	OCA2	(0.000599,0.00112]	2
ENSG00000085514	16	15.052	0.00072896	1.81e-05	0.00305005	PILRA	(0.000599,0.00112]	2
ENSG00000104325	19	16.452	0.00072922	3.91e-05	0.00265505	DECR1	(0.000599,0.00112]	2
ENSG00000153294	23	26.619	0.00072939	3.91e-05	0.00259805	ADGRF4	(0.000599,0.00112]	2
ENSG00000165923	32	48.151	0.00072941	2.51e-05	0.00292605	AGBL2	(0.000599,0.00112]	2
ENSG00000072858	30	46.651	0.00072948	5.91e-05	0.00249405	SIDT1	(0.000599,0.00112]	2
ENSG00000254415	7	14.823	0.00073007	1.51e-05	0.00310005	SIGLEC14	(0.000599,0.00112]	2
ENSG00000006555	12	19.312	0.00073053	1.81e-05	0.00308205	TTC22	(0.000599,0.00112]	2
ENSG00000134905	16	28.939	0.00073054	2.91e-05	0.00293505	CARS2	(0.000599,0.00112]	2
ENSG00000134330	6	12.962	0.0007306	1.71e-05	0.00310605	IAH1	(0.000599,0.00112]	2
ENSG00000165181	45	68.188	0.00073117	2.21e-05	0.00295305	SHOC1	(0.000599,0.00112]	2
ENSG00000237440	5	5.0656	0.00073132	1.61e-05	0.00308505	ZNF737	(0.000599,0.00112]	2
ENSG00000179397	26	46.618	0.00073135	2.41e-05	0.00296305	CATSPERE	(0.000599,0.00112]	2
ENSG00000140471	14	22.761	0.00073333	3.11e-05	0.00278705	LINS1	(0.000599,0.00112]	2
ENSG00000089091	34	38.783	0.00073404	4.81e-05	0.00265505	DZANK1	(0.000599,0.00112]	2
ENSG00000181038	10	9.0307	0.00073468	1.91e-05	0.00303205	METTL23	(0.000599,0.00112]	2
ENSG00000034239	7	11.107	0.00073482	1.71e-05	0.00312605	CLXN	(0.000599,0.00112]	2
ENSG00000146350	52	72.461	0.00073497	8.41e-05	0.00234705	TBC1D32	(0.000599,0.00112]	2
ENSG00000167769	6	11.816	0.0007351	1.41e-05	0.00320205	ACER1	(0.000599,0.00112]	2
ENSG00000257046	NA	NA	0.00073544	2.31e-05	0.00280005	SLCO1B3-SLCO1B7	(0.000599,0.00112]	2
ENSG00000166435	19	35.611	0.00073591	2.11e-05	0.00309305	XRRA1	(0.000599,0.00112]	2
ENSG00000132357	21	24.073	0.00073598	2.51e-05	0.00287905	CARD6	(0.000599,0.00112]	2
ENSG00000177694	18	37.461	0.00073601	2.81e-05	0.00306005	NAALADL2	(0.000599,0.00112]	2
ENSG00000167799	6	5.765	0.00073656	1.21e-05	0.00318005	NUDT8	(0.000599,0.00112]	2
ENSG00000131482	10	16.79	0.00073658	1.31e-05	0.00327105	G6PC1	(0.000599,0.00112]	2
ENSG00000167851	11	14.911	0.00073676	1.31e-05	0.00315705	CD300A	(0.000599,0.00112]	2
ENSG00000167216	14	26.812	0.00073679	5.71e-05	0.00247705	KATNAL2	(0.000599,0.00112]	2
ENSG00000114735	15	22.356	0.00073716	2.21e-05	0.00305305	HEMK1	(0.000599,0.00112]	2
ENSG00000132906	11	18.693	0.00073736	2.31e-05	0.00300505	CASP9	(0.000599,0.00112]	2
ENSG00000174652	3	5.3406	0.0007374	1.61e-05	0.00297205	ZNF266	(0.000599,0.00112]	2
ENSG00000140263	13	16.211	0.00073741	2.81e-05	0.00285405	SORD	(0.000599,0.00112]	2
ENSG00000162460	11	12.894	0.00073752	2.01e-05	0.00302305	TMEM82	(0.000599,0.00112]	2
ENSG00000156049	23	18.814	0.00073772	4.01e-05	0.00259005	GNA14	(0.000599,0.00112]	2
ENSG00000275722	5	6.4301	0.00073799	1.21e-05	0.00310105	LYZL6	(0.000599,0.00112]	2
ENSG00000185163	22	31.45	0.00073821	2.51e-05	0.00300405	DDX51	(0.000599,0.00112]	2
ENSG00000157017	13	6.8183	0.00073851	1.51e-05	0.00312905	GHRL	(0.000599,0.00112]	2
ENSG00000229972	4	2.1729	0.00073868	7.05e-06	0.00327505	IQCF3	(0.000599,0.00112]	2
ENSG00000163386	99	49.331	0.00073895	1.41e-05	0.00308505	NA	(0.000599,0.00112]	2
ENSG00000258839	12	6.099	0.00073938	1.11e-05	0.00301505	MC1R	(0.000599,0.00112]	2
ENSG00000141086	14	14.375	0.00073965	2.01e-05	0.00303905	CTRL	(0.000599,0.00112]	2
ENSG00000164972	11	16.015	0.00074023	1.11e-05	0.00323905	C9orf24	(0.000599,0.00112]	2
ENSG00000198690	42	48.629	0.00074036	9.81e-05	0.00212205	FAN1	(0.000599,0.00112]	2
ENSG00000148386	6	11.225	0.00074044	1.01e-05	0.00290005	LCN9	(0.000599,0.00112]	2
ENSG00000255181	4	5.1629	0.00074098	1.31e-05	0.00311305	CCDC166	(0.000599,0.00112]	2
ENSG00000174898	29	42.969	0.0007413	1.21e-05	0.00289905	CATSPERD	(0.000599,0.00112]	2
ENSG00000141219	14	21.289	0.00074143	3.31e-05	0.00273705	C17orf80	(0.000599,0.00112]	2
ENSG00000188549	23	28.532	0.00074151	2.91e-05	0.00284205	CCDC9B	(0.000599,0.00112]	2
ENSG00000151353	5	7.9438	0.00074151	2.11e-05	0.00298805	TMEM18	(0.000599,0.00112]	2
ENSG00000074410	18	20.115	0.00074173	4.01e-05	0.00266505	CA12	(0.000599,0.00112]	2
ENSG00000162746	15	15.389	0.00074196	1.71e-05	0.00312505	FCRLB	(0.000599,0.00112]	2
ENSG00000125843	6	5.9166	0.00074203	1.21e-05	0.00322705	AP5S1	(0.000599,0.00112]	2
ENSG00000203722	9	11.32	0.00074327	1.21e-05	0.00319105	RAET1G	(0.000599,0.00112]	2
ENSG00000165682	12	13.417	0.00074341	2.41e-05	0.00292905	CLEC1B	(0.000599,0.00112]	2
ENSG00000139194	7	8.073	0.00074365	2.51e-05	0.00285205	RBP5	(0.000599,0.00112]	2
ENSG00000155367	17	24.282	0.00074403	4.91e-05	0.00256205	PPM1J	(0.000599,0.00112]	2
ENSG00000242441	18	21.025	0.00074409	3.01e-05	0.00275105	GTF2A1L	(0.000599,0.00112]	2
ENSG00000015413	16	18.523	0.00074419	3.61e-05	0.00277905	DPEP1	(0.000599,0.00112]	2
ENSG00000125999	16	25.397	0.00074439	1.91e-05	0.00314305	BPIFB1	(0.000599,0.00112]	2
ENSG00000130733	13	16.154	0.00074464	2.11e-05	0.00306605	YIPF2	(0.000599,0.00112]	2
ENSG00000152580	73	71.662	0.00074474	9.11e-05	0.00217605	IGSF10	(0.000599,0.00112]	2
ENSG00000204790	9	8.6798	0.00074512	1.11e-05	0.00291505	ENSG00000204790	(0.000599,0.00112]	2
ENSG00000115042	11	15.182	0.00074593	2.41e-05	0.00305705	FAHD2A	(0.000599,0.00112]	2
ENSG00000179938	21	14.937	0.00074593	1.71e-05	0.00300805	GOLGA8J	(0.000599,0.00112]	2
ENSG00000137674	21	22.127	0.00074597	4.21e-05	0.00264505	MMP20	(0.000599,0.00112]	2
ENSG00000013573	40	54.19	0.00074608	6.01e-05	0.00247205	DDX11	(0.000599,0.00112]	2
ENSG00000240224	14	17.018	0.00074608	1.91e-05	0.00301705	NA	(0.000599,0.00112]	2
ENSG00000164483	25	28.728	0.00074608	2.41e-05	0.00299605	SAMD3	(0.000599,0.00112]	2
ENSG00000132837	39	43.426	0.00074624	9.41e-05	0.00213305	DMGDH	(0.000599,0.00112]	2
ENSG00000163006	22	34.399	0.00074657	5.71e-05	0.00258205	CCDC138	(0.000599,0.00112]	2
ENSG00000180257	5	3.5988	0.00074674	2.61e-05	0.00285905	ZNF816	(0.000599,0.00112]	2
ENSG00000185974	11	22.302	0.00074692	2.31e-05	0.00291705	GRK1	(0.000599,0.00112]	2
ENSG00000171860	13	12.929	0.00074693	2.11e-05	0.00294605	C3AR1	(0.000599,0.00112]	2
ENSG00000072756	9	17.924	0.00074765	3.91e-05	0.00274705	TRNT1	(0.000599,0.00112]	2
ENSG00000170006	10	10.339	0.00074793	2.21e-05	0.00302805	TMEM154	(0.000599,0.00112]	2
ENSG00000166927	9	10.331	0.0007483	1.31e-05	0.00323805	MS4A7	(0.000599,0.00112]	2
ENSG00000010626	14	17.964	0.00074836	2.41e-05	0.00304605	LRRC23	(0.000599,0.00112]	2
ENSG00000161649	7	13.323	0.0007484	2.21e-05	0.00303705	CD300LG	(0.000599,0.00112]	2
ENSG00000086504	11	12.348	0.00074888	2.21e-05	0.00299905	MRPL28	(0.000599,0.00112]	2
ENSG00000165046	26	23.388	0.00074895	4.11e-05	0.00275505	LETM2	(0.000599,0.00112]	2
ENSG00000186522	17	21.804	0.00074931	4.81e-05	0.00272305	SEPTIN10	(0.000599,0.00112]	2
ENSG00000134955	25	31.144	0.00074931	5.11e-05	0.00260005	SLC37A2	(0.000599,0.00112]	2
ENSG00000186275	20	15.191	0.00074933	1.21e-05	0.00319605	NA	(0.000599,0.00112]	2
ENSG00000214300	8	13.644	0.00074958	7.05e-06	0.00292905	SPDYE3	(0.000599,0.00112]	2
ENSG00000002726	15	23.848	0.00075016	2.91e-05	0.00293805	AOC1	(0.000599,0.00112]	2
ENSG00000127507	43	44.262	0.00075017	5.81e-05	0.00243005	ADGRE2	(0.000599,0.00112]	2
ENSG00000137731	2	5.2095	0.00075027	1.41e-05	0.00318205	FXYD2	(0.000599,0.00112]	2
ENSG00000165501	13	14.372	0.00075035	2.81e-05	0.00292205	LRR1	(0.000599,0.00112]	2
ENSG00000010319	32	41.432	0.0007504	4.61e-05	0.00267305	SEMA3G	(0.000599,0.00112]	2
ENSG00000183148	4	1.8399	0.00075058	9.05e-06	0.00287205	ANKRD20A2P	(0.000599,0.00112]	2
ENSG00000160688	8	24.363	0.00075084	2.21e-05	0.00316705	FLAD1	(0.000599,0.00112]	2
ENSG00000273611	9	7.9834	0.00075122	1.31e-05	0.00325205	ZNHIT3	(0.000599,0.00112]	2
ENSG00000249861	6	6.0605	0.00075143	9.05e-06	0.00324105	LGALS16	(0.000599,0.00112]	2
ENSG00000161328	16	19.522	0.00075216	2.41e-05	0.00296405	LRRC56	(0.000599,0.00112]	2
ENSG00000183426	0	0.38278	0.00075232	8.05e-06	0.00294405	NPIPA1	(0.000599,0.00112]	2
ENSG00000136147	13	16.165	0.0007524	2.81e-05	0.00294705	PHF11	(0.000599,0.00112]	2
ENSG00000160284	11	9.3867	0.00075249	3.31e-05	0.00271805	SPATC1L	(0.000599,0.00112]	2
ENSG00000251192	11	13.884	0.00075305	3.11e-05	0.00250505	ZNF674	(0.000599,0.00112]	2
ENSG00000173409	10	13.513	0.00075343	2.51e-05	0.00304805	ARV1	(0.000599,0.00112]	2
ENSG00000167984	39	40.989	0.00075347	3.61e-05	0.00260405	NLRC3	(0.000599,0.00112]	2
ENSG00000185475	6	10.011	0.00075355	1.61e-05	0.00316205	TMEM179B	(0.000599,0.00112]	2
ENSG00000117262	20	19.556	0.00075364	7.81e-05	0.00234005	GPR89A	(0.000599,0.00112]	2
ENSG00000185838	9	14.974	0.00075387	3.61e-05	0.00282305	GNB1L	(0.000599,0.00112]	2
ENSG00000124749	43	55.146	0.00075402	7.81e-05	0.00226705	COL21A1	(0.000599,0.00112]	2
ENSG00000103355	11	12.62	0.00075428	2.91e-05	0.00288705	PRSS33	(0.000599,0.00112]	2
ENSG00000111671	4	9.1449	0.00075428	1.81e-05	0.00310805	SPSB2	(0.000599,0.00112]	2
ENSG00000187806	12	12.789	0.00075462	1.41e-05	0.00326805	TMEM202	(0.000599,0.00112]	2
ENSG00000108961	8	10.137	0.0007552	3.71e-05	0.00264305	RANGRF	(0.000599,0.00112]	2
ENSG00000204659	6	7.6072	0.00075556	1.21e-05	0.00330505	CBY3	(0.000599,0.00112]	2
ENSG00000166035	14	23.535	0.00075576	2.51e-05	0.00305305	LIPC	(0.000599,0.00112]	2
ENSG00000183378	43	26.5	0.00075606	2.91e-05	0.00279305	OVCH2	(0.000599,0.00112]	2
ENSG00000103024	9	5.3706	0.00075613	2.51e-05	0.00297305	NME3	(0.000599,0.00112]	2
ENSG00000168612	16	14.577	0.00075615	0.00011205	0.00196805	ZSWIM1	(0.000599,0.00112]	2
ENSG00000070731	20	17.142	0.00075624	4.21e-05	0.00274205	ST6GALNAC2	(0.000599,0.00112]	2
ENSG00000008323	35	46.375	0.00075631	4.11e-05	0.00275605	PLEKHG6	(0.000599,0.00112]	2
ENSG00000130950	15	18.9	0.00075634	2.01e-05	0.00294705	NUTM2F	(0.000599,0.00112]	2
ENSG00000163216	2	1.2546	0.00075659	1.51e-05	0.00317005	SPRR2D	(0.000599,0.00112]	2
ENSG00000101251	32	36.359	0.0007567	1.71e-05	0.00293405	SEL1L2	(0.000599,0.00112]	2
ENSG00000197766	8	8.2769	0.00075694	1.51e-05	0.00324305	CFD	(0.000599,0.00112]	2
ENSG00000099899	17	27.666	0.00075722	1.81e-05	0.00325805	TRMT2A	(0.000599,0.00112]	2
ENSG00000174851	14	13.713	0.00075734	3.31e-05	0.00278005	YIF1A	(0.000599,0.00112]	2
ENSG00000138722	40	43.563	0.00075768	3.71e-05	0.00283105	MMRN1	(0.000599,0.00112]	2
ENSG00000117477	19	26.756	0.00075777	2.91e-05	0.00290805	CCDC181	(0.000599,0.00112]	2
ENSG00000145649	9	9.6129	0.00075783	1.21e-05	0.00332805	GZMA	(0.000599,0.00112]	2
ENSG00000182264	14	18.725	0.00075819	1.21e-05	0.00296405	IZUMO1	(0.000599,0.00112]	2
ENSG00000116882	16	19.204	0.00075847	6.11e-05	0.00247905	HAO2	(0.000599,0.00112]	2
ENSG00000188290	6	3.53	0.0007585	2.71e-05	0.00286005	HES4	(0.000599,0.00112]	2
ENSG00000136856	12	17.708	0.00075878	2.31e-05	0.00310005	SLC2A8	(0.000599,0.00112]	2
ENSG00000100445	16	14.919	0.00075894	3.21e-05	0.00288405	SDR39U1	(0.000599,0.00112]	2
ENSG00000170791	3	6.2792	0.00075895	2.31e-05	0.00299705	CHCHD7	(0.000599,0.00112]	2
ENSG00000275302	1	3.2977	0.00075904	1.41e-05	0.00308505	CCL4	(0.000599,0.00112]	2
ENSG00000167302	14	17.082	0.00075934	2.01e-05	0.00320405	TEPSIN	(0.000599,0.00112]	2
ENSG00000158163	38	38.408	0.00075943	7.81e-05	0.00237605	DZIP1L	(0.000599,0.00112]	2
ENSG00000176358	7	7.6254	0.00075951	1.21e-05	0.00316305	TAC4	(0.000599,0.00112]	2
ENSG00000166323	19	15.575	0.00075977	3.31e-05	0.00286205	C11orf65	(0.000599,0.00112]	2
ENSG00000159625	31	48.719	0.00075977	2.81e-05	0.00304605	DRC7	(0.000599,0.00112]	2
ENSG00000116745	24	30.386	0.0007603	4.81e-05	0.00265905	RPE65	(0.000599,0.00112]	2
ENSG00000162755	14	14.286	0.00076033	2.31e-05	0.00313405	KLHDC9	(0.000599,0.00112]	2
ENSG00000120211	5	3.3172	0.00076042	1.31e-05	0.00318105	INSL4	(0.000599,0.00112]	2
ENSG00000197134	3	4.9382	0.00076172	1.61e-05	0.00322005	ZNF257	(0.000599,0.00112]	2
ENSG00000166343	17	18.476	0.00076186	5.81e-05	0.00246305	MSS51	(0.000599,0.00112]	2
ENSG00000162641	36	38.609	0.00076192	1.21e-05	0.00297805	AKNAD1	(0.000599,0.00112]	2
ENSG00000196754	5	2.4962	0.00076226	1.21e-05	0.00337005	S100A2	(0.000599,0.00112]	2
ENSG00000123243	33	36.443	0.00076229	6.51e-05	0.00238105	ITIH5	(0.000599,0.00112]	2
ENSG00000183921	12	11.852	0.00076239	1.61e-05	0.00320505	SDR42E2	(0.000599,0.00112]	2
ENSG00000180376	55	56.684	0.00076243	0.00011405	0.00205705	CCDC66	(0.000599,0.00112]	2
ENSG00000243789	9	16.252	0.00076268	2.21e-05	0.00308705	JMJD7	(0.000599,0.00112]	2
ENSG00000166069	11	17.546	0.00076298	1.41e-05	0.00332905	TMCO5A	(0.000599,0.00112]	2
ENSG00000170291	18	15.486	0.00076318	3.41e-05	0.00284505	ELP5	(0.000599,0.00112]	2
ENSG00000161267	12	13.97	0.00076376	4.11e-05	0.00277405	BDH1	(0.000599,0.00112]	2
ENSG00000158106	22	28.201	0.00076388	3.21e-05	0.00293905	RHPN1	(0.000599,0.00112]	2
ENSG00000185775	6	4.2788	0.00076435	1.31e-05	0.00317805	SPATA31A6	(0.000599,0.00112]	2
ENSG00000116830	45	65.234	0.00076441	6.81e-05	0.00254205	TTF2	(0.000599,0.00112]	2
ENSG00000105198	5	6.6661	0.00076442	7.05e-06	0.00298705	LGALS13	(0.000599,0.00112]	2
ENSG00000115271	8	13.438	0.00076456	4.01e-05	0.00265405	GCA	(0.000599,0.00112]	2
ENSG00000196812	11	12.433	0.00076488	3.11e-05	0.00288405	ZSCAN16	(0.000599,0.00112]	2
ENSG00000150456	9	9.8444	0.00076618	1.41e-05	0.00332905	EEF1AKMT1	(0.000599,0.00112]	2
ENSG00000196275	14	18.784	0.00076641	3.61e-05	0.00287905	GTF2IRD2	(0.000599,0.00112]	2
ENSG00000146054	6	18.412	0.0007666	9.05e-06	0.00340705	TRIM7	(0.000599,0.00112]	2
ENSG00000114656	15	17.218	0.00076663	3.91e-05	0.00279005	CFAP92	(0.000599,0.00112]	2
ENSG00000149735	10	6.5053	0.00076672	4.11e-05	0.00268105	GPHA2	(0.000599,0.00112]	2
ENSG00000222046	14	18.115	0.00076676	1.61e-05	0.00298005	DCDC2B	(0.000599,0.00112]	2
ENSG00000019102	8	13.135	0.00076692	1.71e-05	0.00329105	VSIG2	(0.000599,0.00112]	2
ENSG00000232070	9	9.1156	0.00076701	1.91e-05	0.00311705	TMEM253	(0.000599,0.00112]	2
ENSG00000141013	21	25.446	0.00076708	2.91e-05	0.00307505	GAS8	(0.000599,0.00112]	2
ENSG00000089060	26	29.142	0.00076734	2.81e-05	0.00307105	SLC8B1	(0.000599,0.00112]	2
ENSG00000105825	6	9.6724	0.00076754	1.81e-05	0.00315005	TFPI2	(0.000599,0.00112]	2
ENSG00000122787	13	18.336	0.00076759	2.51e-05	0.00310805	AKR1D1	(0.000599,0.00112]	2
ENSG00000167748	7	9.9438	0.00076771	1.61e-05	0.00328205	KLK1	(0.000599,0.00112]	2
ENSG00000188959	4	8.7061	0.00076771	1.21e-05	0.00342705	C9orf152	(0.000599,0.00112]	2
ENSG00000196873	8	6.2638	0.0007681	1.41e-05	0.00310605	CBWD3	(0.000599,0.00112]	2
ENSG00000141337	17	22.226	0.0007683	5.81e-05	0.00259005	ARSG	(0.000599,0.00112]	2
ENSG00000127399	5	7.5452	0.00076849	2.31e-05	0.00306005	LRRC61	(0.000599,0.00112]	2
ENSG00000160188	12	19.734	0.00076875	1.81e-05	0.00327505	RSPH1	(0.000599,0.00112]	2
ENSG00000123500	10	17.948	0.0007688	2.51e-05	0.00300205	COL10A1	(0.000599,0.00112]	2
ENSG00000174547	8	6.4391	0.00076891	2.21e-05	0.00305905	MRPL11	(0.000599,0.00112]	2
ENSG00000120662	20	29.987	0.00076902	2.81e-05	0.00304305	MTRF1	(0.000599,0.00112]	2
ENSG00000243509	8	7.569	0.00076951	1.11e-05	0.00342405	TNFRSF6B	(0.000599,0.00112]	2
ENSG00000157335	5	6.2773	0.00076955	2.11e-05	0.00312905	CLEC18C	(0.000599,0.00112]	2
ENSG00000204909	3	4.5602	0.00077026	1.41e-05	0.00314205	SPINK9	(0.000599,0.00112]	2
ENSG00000185917	21	24.276	0.00077051	6.91e-05	0.00243205	SETD4	(0.000599,0.00112]	2
ENSG00000197769	7	5.2653	0.0007708	2.31e-05	0.00306305	MAP1LC3C	(0.000599,0.00112]	2
ENSG00000144401	6	8.6453	0.0007708	2.01e-05	0.00326105	METTL21A	(0.000599,0.00112]	2
ENSG00000039650	23	26.941	0.00077117	3.71e-05	0.00292405	PNKP	(0.000599,0.00112]	2
ENSG00000258429	7	5.2773	0.00077158	9.05e-06	0.00343705	PDF	(0.000599,0.00112]	2
ENSG00000184925	7	9.8568	0.00077164	1.31e-05	0.00301505	LCN12	(0.000599,0.00112]	2
ENSG00000160813	4	6.6419	0.00077175	2.21e-05	0.00302905	PPP1R35	(0.000599,0.00112]	2
ENSG00000146755	17	20.333	0.00077184	2.71e-05	0.00300005	TRIM50	(0.000599,0.00112]	2
ENSG00000157150	7	11.804	0.00077193	2.51e-05	0.00311705	TIMP4	(0.000599,0.00112]	2
ENSG00000178295	29	41.571	0.00077209	4.31e-05	0.00277105	GEN1	(0.000599,0.00112]	2
ENSG00000148600	32	32.778	0.00077215	5.31e-05	0.00266205	CDHR1	(0.000599,0.00112]	2
ENSG00000133739	39	52.773	0.00077233	0.00010205	0.00233505	LRRCC1	(0.000599,0.00112]	2
ENSG00000047617	42	56.545	0.00077236	7.21e-05	0.00236005	ANO2	(0.000599,0.00112]	2
ENSG00000253313	5	3.8378	0.00077245	2.11e-05	0.00304005	C1orf210	(0.000599,0.00112]	2
ENSG00000182521	16	17.511	0.00077281	5.01e-05	0.00254405	TBPL2	(0.000599,0.00112]	2
ENSG00000152705	9	16.056	0.00077349	1.61e-05	0.00335505	CATSPER3	(0.000599,0.00112]	2
ENSG00000162851	11	19.107	0.00077382	1.31e-05	0.00323905	TFB2M	(0.000599,0.00112]	2
ENSG00000232629	4	10.942	0.0007744	8.05e-06	0.00366505	HLA-DQB2	(0.000599,0.00112]	2
ENSG00000129749	15	16.14	0.00077453	3.01e-05	0.00298705	CHRNA10	(0.000599,0.00112]	2
ENSG00000125872	15	17.259	0.00077469	2.11e-05	0.00324705	LRRN4	(0.000599,0.00112]	2
ENSG00000203965	28	32.206	0.00077478	5.81e-05	0.00265605	EFCAB7	(0.000599,0.00112]	2
ENSG00000197213	16	11.897	0.00077516	2.21e-05	0.00312005	ZSCAN5B	(0.000599,0.00112]	2
ENSG00000106603	4	7.0831	0.00077517	1.61e-05	0.00326105	COA1	(0.000599,0.00112]	2
ENSG00000111536	6	8.7692	0.00077517	1.41e-05	0.00335705	IL26	(0.000599,0.00112]	2
ENSG00000119705	8	5.8996	0.00077528	2.31e-05	0.00304505	SLIRP	(0.000599,0.00112]	2
ENSG00000250565	5	8.5377	0.0007753	2.21e-05	0.00315205	ATP6V1E2	(0.000599,0.00112]	2
ENSG00000204296	27	31.466	0.00077545	2.31e-05	0.00311605	TSBP1	(0.000599,0.00112]	2
ENSG00000103175	15	13.155	0.00077596	3.41e-05	0.00284805	WFDC1	(0.000599,0.00112]	2
ENSG00000166473	7	6.8752	0.000776	1.11e-05	0.00341705	PKD1L2	(0.000599,0.00112]	2
ENSG00000066651	21	27.068	0.00077606	5.41e-05	0.00273305	TRMT11	(0.000599,0.00112]	2
ENSG00000100628	24	27.717	0.00077669	4.61e-05	0.00267005	ASB2	(0.000599,0.00112]	2
ENSG00000141946	8	9.661	0.00077704	1.71e-05	0.00326805	ZIM3	(0.000599,0.00112]	2
ENSG00000179813	5	6.1051	0.0007772	1.31e-05	0.00336905	FAM216B	(0.000599,0.00112]	2
ENSG00000140451	25	26.358	0.00077738	7.71e-05	0.00239405	PIF1	(0.000599,0.00112]	2
ENSG00000188060	3	1.8349	0.00077764	1.41e-05	0.00332805	RAB42	(0.000599,0.00112]	2
ENSG00000100483	14	11.006	0.00077766	2.01e-05	0.00317205	VCPKMT	(0.000599,0.00112]	2
ENSG00000243678	13	14.098	0.00077809	1.81e-05	0.00311205	NME2	(0.000599,0.00112]	2
ENSG00000182141	6	5.2624	0.00077854	1.61e-05	0.00328305	ZNF708	(0.000599,0.00112]	2
ENSG00000204300	5	7.3306	0.00077869	9.05e-06	0.00331605	TMEM225	(0.000599,0.00112]	2
ENSG00000121964	20	22.618	0.00077891	9.91e-05	0.00228105	GTDC1	(0.000599,0.00112]	2
ENSG00000136682	6	14.451	0.00077933	4.01e-05	0.00294405	CBWD2	(0.000599,0.00112]	2
ENSG00000123171	3	3.6014	0.00077943	1.21e-05	0.00330205	CCDC70	(0.000599,0.00112]	2
ENSG00000143107	22	32.611	0.00077944	3.51e-05	0.00291705	FNDC7	(0.000599,0.00112]	2
ENSG00000188467	17	21.922	0.0007795	4.41e-05	0.00278705	SLC24A5	(0.000599,0.00112]	2
ENSG00000128276	6	3.7539	0.00077953	1.41e-05	0.00332805	RFPL3	(0.000599,0.00112]	2
ENSG00000180855	5	5.3099	0.00078017	1.41e-05	0.00339005	ZNF443	(0.000599,0.00112]	2
ENSG00000237541	8	8.8308	0.00078041	1.91e-05	0.00322205	HLA-DQA2	(0.000599,0.00112]	2
ENSG00000204475	6	8.088	0.00078076	1.51e-05	0.00336105	NCR3	(0.000599,0.00112]	2
ENSG00000160072	32	29.105	0.00078157	6.41e-05	0.00256105	ATAD3B	(0.000599,0.00112]	2
ENSG00000109193	12	15.308	0.00078165	2.61e-05	0.00310405	SULT1E1	(0.000599,0.00112]	2
ENSG00000186814	19	19.502	0.00078177	4.01e-05	0.00283605	ZSCAN30	(0.000599,0.00112]	2
ENSG00000110245	3	3.743	0.00078229	2.51e-05	0.00296005	APOC3	(0.000599,0.00112]	2
ENSG00000162062	18	19.431	0.0007824	2.11e-05	0.00327205	TEDC2	(0.000599,0.00112]	2
ENSG00000206013	7	4.1078	0.00078256	2.11e-05	0.00307905	IFITM5	(0.000599,0.00112]	2
ENSG00000171847	8	6.4535	0.00078261	2.11e-05	0.00314005	FAM90A1	(0.000599,0.00112]	2
ENSG00000187905	NA	NA	0.00078262	2.51e-05	0.00297605	LRRC74B	(0.000599,0.00112]	2
ENSG00000228727	10	9.4069	0.00078299	1.71e-05	0.00333105	SAPCD1	(0.000599,0.00112]	2
ENSG00000196954	14	18.73	0.00078324	2.61e-05	0.00311305	CASP4	(0.000599,0.00112]	2
ENSG00000126259	20	32.987	0.00078333	3.01e-05	0.00307805	KIRREL2	(0.000599,0.00112]	2
ENSG00000039537	40	52.453	0.00078346	9.01e-05	0.00227105	C6	(0.000599,0.00112]	2
ENSG00000169877	4	1.8206	0.00078366	1.11e-05	0.00344405	AHSP	(0.000599,0.00112]	2
ENSG00000186838	13	8.9566	0.00078388	2.01e-05	0.00316605	SELENOV	(0.000599,0.00112]	2
ENSG00000143303	19	22.983	0.00078424	3.81e-05	0.00299505	METTL25B	(0.000599,0.00112]	2
